release_date,title,speaker
2011-06-15,Banking supervision,"Michael R. Foley, Senior Associate Director, Division of Banking Supervision and Regulation"
2011-06-15,Implementation of Title VII of the Dodd-Frank Act,"Michael R. Foley, Senior Associate Director, Division of Banking Supervision and Regulation"
2011-06-16,Capital and liquidity standards,Governor Daniel K. Tarullo
2011-07-07,On mortgage servicing,Statement for the Record
2011-07-13,Mortgage origination,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2011-07-13,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2011-07-21,Dodd-Frank Act,Chiarman Ben S. Bernanke
2011-07-27,Credit Ratings Agencies,"Mark E. Van Der Weide, Senior Associate Director, Division of Banking Supervision and Regulation"
2011-08-16,Banking Supervision and Regulation,"Kevin M. Bertsch, Associate Director, Division of Banking Supervision and Regulation"
2011-10-04,Economic Outlook and Recent Monetary Policy Actions,Chairman Ben S. Bernanke
2011-12-06,Dodd-Frank Act Implementation,Governor Daniel K. Tarullo
2011-12-13,Statement on the foreclosure review process ,"Scott G. Alvarez, General Counsel"
2011-12-16,The Economic Situation in Europe,"Steven B. Kamin, Director, Division of International Finance"
2012-01-18,The Volcker Rule,Governor Daniel K. Tarullo
2012-02-01,Banking Supervision,"Kevin M. Bertsch, Associate Director, Division of Banking Supervision and Regulation"
2012-02-02,The Economic Outlook and the Federal Budget Situation,Chairman Ben S. Bernanke
2012-02-16,The European Financial Situation,"Steven B. Kamin, Director, Division of International Finance"
2012-02-28,The Housing Market,Governor Elizabeth A. Duke
2012-02-29,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2012-03-19,Foreclosures and the Housing Market,"Suzanne G. Killian, Senior Associate Director, Division of Consumer and Community Affairs"
2012-03-21,The European Economic and Financial Situation,Chairman Ben S. Bernanke
2012-03-22,Regulatory Reform,Governor Daniel K. Tarullo
2012-03-27,The European Economic and Financial Situation,"Steven B. Kamin, Director, Division of International Finance"
2012-03-29,Mobile Payments,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2012-05-16,Systemically important financial institutions and the Dodd-Frank Act,"Michael S. Gibson, Director, Division of Banking Supervision and Regulation"
2012-05-17,Settlement practices,"Scott G. Alvarez, General Counsel"
2012-06-06,Dodd-Frank Act Implementation,Governor Daniel K. Tarullo
2012-06-07,Economic Outlook and Policy,Chairman Ben S. Bernanke
2012-06-19,Bank supervision and risk management,"Scott G. Alvarez, General Counsel"
2012-06-29,Mobile payments,"Stephanie Martin, Associate General Counsel"
2012-07-17,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2012-08-02,Tri-party Repo Market,"Matthew J. Eichner, Deputy Director, Division of Research and Statistics"
2012-11-14,Basel III,"Michael S. Gibson, Director, Division of Banking Supervision and Regulation"
2013-02-14,Dodd-Frank Act,Governor Daniel K. Tarullo
2013-02-26,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2013-03-07,Anti-Money Laundering and the Bank Secrecy Act,Governor Jerome H. Powell
2013-04-11,Independent Consultants,"Richard M. Ashton, Deputy General Counsel"
2013-04-16,Too Big to Fail,"Scott G. Alvarez, General Counsel"
2013-05-15,Cross-Border Resolution,"Michael S. Gibson, Director, Division of Banking Supervision and Regulation"
2013-05-22,The Economic Outlook,Chairman Ben S. Bernanke
2013-06-25,Private student loans ,"Todd Vermilyea, Senior Associate Director, Division of Banking Supervision and Regulation"
2013-07-11,Dodd-Frank Implementation,Governor Daniel K. Tarullo
2013-07-17,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2013-11-14,Confirmation hearing,Chair Janet L. Yellen
2014-01-15,Physical Commodities,"Michael S. Gibson, Director, Division of Banking Supervision and Regulation"
2014-02-05,Volcker Rule,Governor Daniel K. Tarullo
2014-02-06,Dodd-Frank Implementation,Governor Daniel K. Tarullo
2014-02-11,Semiannual Monetary Policy Report to the Congress,Chair Janet L. Yellen
2014-03-13,Nomination hearing,Governor Jerome H. Powell
2014-04-08,Regulatory Rulemakings,"Scott G. Alvarez, General Counsel"
2014-05-07,The Economic Outlook,Chair Janet L. Yellen
2014-06-11,Statement for the Record on currency developments and management of coin distribution,"Louise L. Roseman, Director, Division of Reserve Bank Operations and Payment Systems"
2014-07-15,Semiannual Monetary Policy Report to the Congress,Chair Janet L. Yellen
2014-07-15,Department of Justice's Operation Choke Point,"Scott G. Alvarez, General Counsel"
2014-09-09,Dodd-Frank Implementation,Governor Daniel K. Tarullo
2014-09-16,Community Banking,"Maryann Hunter, Deputy Director, Division of Banking Supervision and Regulation"
2014-11-18,International Insurance Regulation,"Thomas Sullivan, Senior Adviser, Division of Banking Supervision and Regulation"
2014-11-21,Physical Commodities,Governor Daniel K. Tarullo
2015-02-10,Community Banks,"Maryann F. Hunter, Deputy Director, Division of Banking Supervision and Regulation"
2015-02-24,Semiannual Monetary Policy Report to the Congress,Chair Janet L. Yellen
2015-03-19,Application of Enhanced Prudential Standards to Bank Holding Companies,Governor Daniel K. Tarullo
2015-04-23,Community Bank Regulations,"Maryann F. Hunter, Deputy Director, Division of Banking Supervision and Regulation"
2015-04-28,Insurance Regulation,"Mark E. Van Der Weide, Deputy Director, Division of Banking Supervision and Regulation"
2015-07-15,Semiannual Monetary Policy Report to the Congress,Chair Janet L. Yellen
2015-09-29,Insurance Regulation,"Thomas Sullivan, Associate Director, Division of Banking Supervision and Regulation"
2015-11-04,Supervision and Regulation,Chair Janet L. Yellen
2015-12-03,Economic Outlook,Chair Janet L. Yellen
2016-02-10,Semiannual Monetary Policy Report to the Congress,Chair Janet L. Yellen
2016-04-14,Trends in Fixed-Income Markets,Governor Jerome H. Powell
2016-06-21,Semiannual Monetary Policy Report to the Congress,Chair Janet L. Yellen
2016-09-28,Supervision and Regulation,Chair Janet L. Yellen
2016-09-28,Insurance Regulation,"Thomas Sullivan, Associate Director, Division of Banking Supervision and Regulation"
2016-11-17,The Economic Outlook,Chair Janet L. Yellen
2017-02-14,Semiannual Monetary Policy Report to the Congress,Chair Janet L. Yellen
2017-06-22,Relationship Between Regulation and Economic Growth,Governor Jerome H. Powell
2017-07-12,Semiannual Monetary Policy Report to the Congress,Chair Janet L. Yellen
2017-11-28,Confirmation hearing,Governor Jerome H. Powell
2017-11-29,The Current Economic Outlook and Monetary Policy,Chair Janet L. Yellen
2018-02-27,Semiannual Monetary Policy Report to the Congress,Chairman Jerome H. Powell
2018-04-17,Semiannual Supervision and Regulation Testimony,Vice Chairman for Supervision Randal K. Quarles
2018-07-17,Semiannual Monetary Policy Report to the Congress,Chairman Jerome H. Powell
2018-10-02,"Implementation of the Economic Growth, Regulatory Relief, and Consumer Protection Act",Vice Chairman for Supervision Randal K. Quarles
2018-11-14,Supervision and Regulation Report,Vice Chairman for Supervision Randal K. Quarles
2019-02-26,Semiannual Monetary Policy Report to the Congress,Chairman Jerome H. Powell
2019-05-15,Supervision and Regulation Report,Vice Chair for Supervision Randal K. Quarles
2019-06-05,Confirmation hearing,Governor Michelle W. Bowman
2019-07-10,Semiannual Monetary Policy Report to the Congress,Chair Jerome H. Powell
2019-09-12,Insurance Regulation,"Thomas Sullivan, Associate Director, Division of Supervision and Regulation"
2019-09-25,Financial Stability,Governor Lael Brainard
2019-11-13,The Economic Outlook,Chair Jerome H. Powell
2019-11-20,Minority Depository Institutions,"Arthur Lindo, Deputy Director, Division of Supervision and Regulation"
2019-12-04,Supervision and Regulation Report,Vice Chair for Supervision Randal K. Quarles
2020-02-11,Semiannual Monetary Policy Report to the Congress,Chair Jerome H. Powell
2020-05-12,Supervision and Regulation Report,Vice Chair for Supervision Randal K. Quarles
2020-05-13,Supervision and Regulation,Vice Chair for Supervision Randal K. Quarles
2020-05-19,Coronavirus and CARES Act,Chair Jerome H. Powell
2020-06-16,Semiannual Monetary Policy Report to the Congress,Chair Jerome H. Powell
2020-06-30,Coronavirus and CARES Act,Chair Jerome H. Powell
2020-09-08,Diversity and Inclusion,"Testimony by Sheila Clark, Program Director, Office of Diversity and Inclusion"
2020-09-17,Municipal Liquidity Facility,"Kent Hiteshew, Deputy Associate Director, Division of Financial Stability"
2020-09-22,"Coronavirus Aid, Relief, and Economic Security Act",Chair Jerome H. Powell
2020-11-10,Supervision and Regulation Report,Vice Chair for Supervision Randal K. Quarles
2020-12-01,"Coronavirus Aid, Relief, and Economic Security Act",Chair Jerome H. Powell
2021-02-23,Semiannual Monetary Policy Report to the Congress,Chair Jerome H. Powell
2021-03-23,"Coronavirus Aid, Relief, and Economic Security Act",Chair Jerome H. Powell
2021-04-15,"The End of LIBOR: Transitioning to an Alternative Interest Rate Calculation for Mortgages, Student Loans, Business Borrowing, and Other Financial Products","Mark Van Der Weide, General Counsel"
2021-05-19,Supervision and Regulation,Vice Chair for Supervision Randal K. Quarles
2021-06-22,The Federal Reserve's Response to the Coronavirus Pandemic,Chair Jerome H. Powell
2021-07-14,Semiannual Monetary Policy Report to the Congress,Chair Jerome H. Powell
2021-09-28,Coronavirus and CARES Act,Chair Jerome H. Powell
2021-11-30,Coronavirus and CARES Act,Chair Jerome H. Powell
2022-01-11,Nomination hearing,Chair Jerome H. Powell
2022-01-13,Nomination hearing,Governor Lael Brainard
2022-03-02,Semiannual Monetary Policy Report to the Congress,Chair Pro Tempore Jerome H. Powell
2022-05-26,Digital Assets and the Future of Finance: Examining the Benefits and Risks of a U.S. Central Bank Digital Currency,Vice Chair Lael Brainard
